date,temphigh_f,tempavg_f,templow_f,humidityhigh_percent,humidityavg_percent,humiditylow_percent,visibilityhigh_miles,visibilityavg_miles,visibilitylow_miles,windhigh_mph,windavg_mph,windgust_mph,precipitation_inches,fog,rain,snow,thunderstorm
2014-01-01,69.0,54.0,39.0,83.0,68.0,52.0,10.0,10.0,8.0,13.0,4.0,22.0,0.0,0,0,0,0
2014-01-02,55.0,44.0,33.0,83.0,55.0,26.0,10.0,10.0,9.0,21.0,8.0,31.0,0.0,0,0,0,0
2014-01-03,58.0,43.0,28.0,75.0,49.0,22.0,10.0,10.0,10.0,14.0,4.0,21.0,0.0,0,0,0,0
2014-01-04,71.0,57.0,42.0,89.0,68.0,47.0,10.0,10.0,8.0,16.0,7.0,28.0,0.0,0,0,0,0
2014-01-05,59.0,47.0,34.0,87.0,59.0,31.0,10.0,10.0,4.0,21.0,10.0,34.0,0.0,0,0,0,0
2014-01-06,36.0,29.0,22.0,50.0,38.0,26.0,10.0,10.0,10.0,17.0,7.0,27.0,0.0,0,0,0,0
2014-01-07,48.0,35.0,22.0,68.0,43.0,17.0,10.0,10.0,10.0,13.0,5.0,22.0,0.0,0,0,0,0
2014-01-08,53.0,47.0,40.0,93.0,75.0,57.0,10.0,2.0,1.0,12.0,1.0,18.0,0.16,0,1,0,0
2014-01-09,70.0,62.0,53.0,93.0,80.0,66.0,10.0,4.0,0.0,12.0,3.0,19.0,0.0,1,0,0,0
2014-01-10,72.0,65.0,57.0,93.0,81.0,68.0,10.0,8.0,1.0,13.0,6.0,21.0,0.1,0,1,0,0
2014-01-11,75.0,62.0,48.0,93.0,53.0,13.0,10.0,9.0,5.0,12.0,3.0,19.0,0.0,0,0,0,0
2014-01-12,67.0,57.0,46.0,84.0,68.0,52.0,10.0,10.0,10.0,15.0,4.0,24.0,0.01,0,1,0,0
2014-01-13,71.0,57.0,43.0,87.0,51.0,14.0,10.0,9.0,7.0,17.0,7.0,29.0,0.0,0,0,0,0
2014-01-14,76.0,57.0,37.0,70.0,41.0,12.0,10.0,10.0,10.0,16.0,5.0,29.0,0.0,0,0,0,0
2014-01-15,64.0,52.0,40.0,49.0,35.0,21.0,10.0,10.0,10.0,14.0,4.0,21.0,0.0,0,0,0,0
2014-01-16,72.0,56.0,40.0,55.0,38.0,20.0,10.0,10.0,10.0,14.0,4.0,20.0,0.0,0,0,0,0
2014-01-17,64.0,54.0,43.0,45.0,31.0,17.0,10.0,10.0,9.0,14.0,5.0,21.0,0.0,0,0,0,0
2014-01-18,70.0,54.0,37.0,59.0,45.0,31.0,10.0,10.0,10.0,12.0,2.0,19.0,0.0,0,0,0,0
2014-01-19,72.0,59.0,45.0,64.0,39.0,14.0,10.0,10.0,10.0,9.0,3.0,16.0,0.0,0,0,0,0
2014-01-20,82.0,64.0,46.0,71.0,44.0,17.0,10.0,10.0,10.0,16.0,5.0,26.0,0.0,0,0,0,0
2014-01-21,63.0,51.0,38.0,59.0,39.0,19.0,10.0,10.0,10.0,15.0,6.0,25.0,0.0,0,0,0,0
2014-01-22,70.0,54.0,37.0,70.0,45.0,19.0,10.0,10.0,10.0,12.0,4.0,18.0,0.0,0,0,0,0
2014-01-23,56.0,42.0,27.0,78.0,64.0,50.0,10.0,8.0,2.0,20.0,9.0,31.0,0.06,0,1,1,0
2014-01-24,40.0,33.0,26.0,81.0,60.0,39.0,10.0,9.0,3.0,16.0,5.0,24.0,0.05,0,0,0,0
2014-01-25,70.0,48.0,26.0,85.0,53.0,20.0,10.0,10.0,8.0,8.0,1.0,14.0,0.0,0,0,0,0
2014-01-26,76.0,60.0,43.0,76.0,52.0,27.0,10.0,10.0,10.0,12.0,3.0,20.0,0.0,0,0,0,0
2014-01-27,60.0,47.0,34.0,66.0,44.0,21.0,10.0,10.0,10.0,21.0,9.0,32.0,0.02,0,1,0,0
2014-01-28,39.0,33.0,27.0,69.0,48.0,27.0,10.0,10.0,10.0,15.0,6.0,23.0,0.05,0,1,0,0
2014-01-29,49.0,38.0,27.0,63.0,42.0,21.0,10.0,10.0,10.0,15.0,5.0,23.0,0.0,0,0,0,0
2014-01-30,65.0,48.0,31.0,80.0,64.0,48.0,10.0,10.0,10.0,15.0,7.0,27.0,0.0,0,0,0,0
2014-01-31,80.0,68.0,55.0,86.0,64.0,42.0,10.0,10.0,9.0,14.0,9.0,25.0,0.0,0,0,0,0
2014-02-01,76.0,66.0,55.0,81.0,71.0,60.0,10.0,10.0,9.0,14.0,6.0,26.0,0.0,0,1,0,0
2014-02-02,55.0,45.0,35.0,79.0,69.0,59.0,10.0,8.0,4.0,18.0,11.0,29.0,0.02,0,1,0,0
2014-02-03,46.0,40.0,34.0,82.0,74.0,65.0,10.0,6.0,3.0,13.0,6.0,17.0,0.0,0,0,0,0
2014-02-04,64.0,53.0,42.0,89.0,68.0,46.0,10.0,6.0,2.0,10.0,2.0,18.0,0.15,0,1,0,0
2014-02-05,48.0,40.0,31.0,80.0,60.0,39.0,10.0,10.0,10.0,16.0,10.0,24.0,0.0,0,0,0,0
2014-02-06,32.0,29.0,26.0,58.0,54.0,49.0,10.0,10.0,10.0,15.0,8.0,23.0,0.0,0,0,0,0
2014-02-07,38.0,34.0,29.0,78.0,68.0,58.0,10.0,7.0,2.0,8.0,3.0,12.0,0.0,0,0,0,0
2014-02-08,65.0,51.0,37.0,85.0,63.0,40.0,10.0,7.0,3.0,14.0,5.0,21.0,0.0,0,0,0,0
2014-02-09,76.0,59.0,41.0,96.0,70.0,44.0,10.0,5.0,0.0,13.0,4.0,20.0,0.0,1,0,0,0
2014-02-10,60.0,48.0,35.0,82.0,74.0,66.0,10.0,8.0,4.0,15.0,9.0,23.0,0.0,0,1,0,0
2014-02-11,36.0,35.0,33.0,89.0,80.0,70.0,9.0,5.0,1.0,15.0,9.0,23.0,0.1,0,1,0,0
2014-02-12,57.0,45.0,33.0,75.0,57.0,38.0,10.0,9.0,7.0,14.0,5.0,22.0,0.0,0,0,0,0
2014-02-13,69.0,51.0,32.0,85.0,58.0,30.0,10.0,10.0,10.0,10.0,4.0,19.0,0.0,0,0,0,0
2014-02-14,86.0,67.0,47.0,86.0,51.0,15.0,10.0,10.0,8.0,18.0,6.0,30.0,0.0,0,0,0,0
2014-02-15,76.0,59.0,42.0,64.0,43.0,22.0,10.0,10.0,10.0,15.0,5.0,23.0,0.0,0,0,0,0
2014-02-16,76.0,68.0,59.0,90.0,74.0,57.0,10.0,5.0,0.0,13.0,5.0,23.0,0.0,1,0,0,0
2014-02-17,81.0,70.0,58.0,87.0,52.0,17.0,10.0,8.0,2.0,15.0,5.0,23.0,0.0,0,0,0,0
2014-02-18,82.0,69.0,55.0,78.0,55.0,32.0,10.0,10.0,9.0,13.0,4.0,20.0,0.0,0,0,0,0
2014-02-19,82.0,73.0,63.0,93.0,70.0,47.0,10.0,9.0,2.0,15.0,7.0,25.0,0.0,0,0,0,0
2014-02-20,83.0,70.0,57.0,81.0,48.0,15.0,10.0,9.0,7.0,16.0,8.0,28.0,0.0,0,0,0,0
2014-02-21,72.0,57.0,41.0,67.0,43.0,19.0,10.0,10.0,10.0,14.0,5.0,20.0,0.0,0,0,0,0
2014-02-22,77.0,63.0,48.0,73.0,53.0,32.0,10.0,10.0,10.0,14.0,6.0,22.0,0.0,0,0,0,0
2014-02-23,86.0,74.0,62.0,84.0,57.0,29.0,10.0,10.0,7.0,15.0,4.0,24.0,0.0,0,0,0,0
2014-02-24,76.0,66.0,55.0,81.0,65.0,49.0,10.0,9.0,5.0,12.0,4.0,18.0,0.0,0,0,0,0
2014-02-25,71.0,62.0,52.0,93.0,85.0,77.0,10.0,4.0,1.0,12.0,5.0,20.0,0.0,0,1,0,0
2014-02-26,52.0,44.0,36.0,83.0,63.0,43.0,10.0,8.0,2.0,20.0,8.0,29.0,0.11,0,1,0,0
2014-02-27,59.0,45.0,31.0,82.0,56.0,29.0,10.0,10.0,10.0,12.0,3.0,17.0,0.0,0,0,0,0
2014-02-28,80.0,62.0,44.0,83.0,60.0,37.0,10.0,10.0,7.0,13.0,6.0,21.0,0.0,0,0,0,0
2014-03-01,82.0,68.0,53.0,93.0,74.0,54.0,10.0,7.0,0.0,16.0,5.0,27.0,0.0,1,0,0,0
2014-03-02,73.0,51.0,28.0,89.0,79.0,69.0,10.0,8.0,2.0,20.0,10.0,37.0,0.08,0,1,0,0
2014-03-03,47.0,36.0,24.0,75.0,56.0,37.0,10.0,9.0,4.0,18.0,10.0,29.0,0.08,0,1,0,1
